,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,11,94,79,105,173,364,548,0.9788554355320616,0.04325095057034221,0.968835304822566
1,$u_{SCF}$,6,102,64,108,166,403,575,0.9802344288669271,0.04788498098859316,0.9673943861638786
2,$u_{25}$,6,105,67,111,172,403,581,0.9795472825462485,0.047890671420083186,0.9670466791446884
3,$u_{50}$,7,102,67,109,169,401,577,0.9797351755900978,0.047551286612119055,0.9672065927820404
4,$u_{75}$,6,104,66,110,170,399,575,0.9797887000459348,0.04744351961950059,0.9674017801462668
