,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,10,90,72,100,162,353,525,0.9798358733880422,0.04345150172328902,0.9695493300852618
1,$u_{SCF}$,5,99,59,104,158,392,555,0.9808909730363423,0.0482520925652388,0.967898663890335
2,$u_{25}$,5,99,61,104,160,388,553,0.9806087671876836,0.0476365868631062,0.9679252943564759
3,$u_{50}$,5,94,59,99,153,387,545,0.9813481289104002,0.04729316876451179,0.9682604391124572
4,$u_{75}$,5,97,57,102,154,385,544,0.9813292625645843,0.047308921110838044,0.9684783868350909
