,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,14,100,84,114,184,377,575,0.9776851121379466,0.043288552072568605,0.9679218967921898
1,$u_{SCF}$,8,110,69,118,179,417,604,0.9789248281302829,0.0478815018945918,0.9663996439697375
2,$u_{25}$,8,114,69,122,183,414,605,0.9785127685903926,0.04762452548027148,0.9663907560691073
3,$u_{50}$,9,113,71,122,184,412,605,0.9782657657657657,0.04734543783038382,0.9663496301240336
4,$u_{75}$,8,114,70,122,184,411,603,0.9784172661870504,0.04731752244991941,0.9665204597190606
