,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,17,118,91,135,209,390,616,0.9752057048820625,0.04292790313703908,0.966510818745243
1,$u_{SCF}$,10,125,75,135,200,430,640,0.9769610532089962,0.04733076499724821,0.9653116531165312
2,$u_{25}$,9,129,78,138,207,432,648,0.976305397103993,0.047556142668428,0.9648742411101474
3,$u_{50}$,9,125,83,134,208,425,642,0.9762400087594437,0.04687327671776773,0.9652484572913282
4,$u_{75}$,9,127,78,136,205,429,643,0.9765376603442605,0.047251899988985574,0.96516226905781
