,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,24,178,138,202,316,455,795,0.9644053601340034,0.04675778440036995,0.9586346844268693
1,$u_{SCF}$,14,182,111,196,293,465,772,0.9678601340033501,0.0477854280135649,0.9599210881528398
2,$u_{25}$,14,173,117,187,290,462,766,0.9681608713866778,0.04745762711864407,0.9602160590007272
3,$u_{50}$,19,171,119,190,290,460,769,0.9676372015081692,0.04725218284540318,0.9600457214111289
4,$u_{75}$,14,170,113,184,283,460,757,0.9688940092165899,0.04725218284540318,0.9606937016459837
