,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,36,192,148,228,340,467,843,0.9608455690929918,0.04748347737671581,0.956314453023786
1,$u_{SCF}$,25,197,126,222,323,473,821,0.9637613245860669,0.04809354346720895,0.9575293569913611
2,$u_{blur}$,26,199,129,225,328,472,826,0.9631786977324734,0.04804560260586319,0.9573038354181743
