,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,15,118,89,133,207,387,609,0.9755479678378676,0.043158246905319504,0.9667630846477107
1,$u_{SCF}$,11,127,73,138,200,429,640,0.9767595550170723,0.04784208765473402,0.9651719634305616
2,$u_{blur}$,9,123,80,132,203,424,636,0.97663396891877,0.04725286972027193,0.9653557032356466
