,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,12,97,79,109,176,368,556,0.9785681714546284,0.04329411764705882,0.9686301060708643
1,$u_{SCF}$,8,109,61,117,170,414,592,0.9797081623347014,0.048705882352941175,0.9667041619797525
2,$u_{blur}$,8,105,68,113,173,403,584,0.9793260993717875,0.04731713044499237,0.9670651928716444
