,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,63,223,153,286,376,495,934,0.9546018614270941,0.049884107628741306,0.9518457413899774
1,$u_{SCF}$,48,228,132,276,360,497,905,0.9578076525336091,0.05008565957875642,0.9534201451438572
2,$u_{blur}$,48,222,135,270,357,496,901,0.9581178903826267,0.049984883603748864,0.9536307961504812
