,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,20,163,126,183,289,435,744,0.9674736842105263,0.045180722891566265,0.9611000731987869
1,$u_{SCF}$,14,171,105,185,276,452,742,0.9694736842105263,0.04694640631491483,0.9612775284417074
2,$u_{blur}$,15,159,108,174,267,452,734,0.9702939007689877,0.046912298910223145,0.9616830235957402
