,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,9,90,75,99,165,363,537,0.9796823914058851,0.04403202328966521,0.9689900098169429
1,$u_{SCF}$,7,99,60,106,159,408,574,0.9806165343297525,0.049490538573508006,0.9669545192861255
2,$u_{blur}$,5,95,62,100,157,392,554,0.981037106402903,0.04742891712038717,0.9680064680064681
