,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,23,175,136,198,311,450,784,0.9650078575170247,0.04621072088724584,0.9591794230969489
1,$u_{SCF}$,14,178,117,192,295,460,769,0.9676270298585647,0.04723762579585131,0.9600332623044541
2,$u_{blur}$,19,171,119,190,290,460,769,0.9676372015081692,0.04725218284540318,0.9600457214111289
