,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,18,141,101,159,242,410,670,0.9721299174616786,0.04392072844134976,0.964376860910251
1,$u_{SCF}$,12,149,84,161,233,444,689,0.9737378068388894,0.047562935190144616,0.9634618444079122
2,$u_{blur}$,10,136,93,146,229,442,681,0.9743507190384203,0.04729295955488979,0.9638515844790063
