,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,18,141,101,159,242,410,670,0.9721299174616786,0.04392072844134976,0.964376860910251
1,$u_{new embed}$,15,134,126,149,260,450,725,0.9704808930871619,0.04813863928112965,0.9614505237411601
