,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,63,223,153,286,376,495,934,0.9546018614270941,0.049884107628741306,0.9518457413899774
1,$u_{new embed}$,40,255,183,295,438,500,978,0.9505687693898656,0.0503879875037791,0.9494886891850016
