,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,15,123,92,138,215,392,622,0.9748496446145435,0.04329099944781888,0.9662909169737698
1,$u_{new embed}$,12,117,109,129,226,444,682,0.9739206662283585,0.04893101168172801,0.9630512514898688
