,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,10,90,72,100,162,353,525,0.9798358733880422,0.04345150172328902,0.9695493300852618
1,$u_{25}$,9,89,74,98,163,351,523,0.979786108825949,0.0430939226519337,0.9695877187881607
2,$u_{50}$,10,85,69,95,154,353,517,0.9806398300082635,0.04313821336918001,0.9698207927149611
3,$u_{75}$,10,86,72,96,158,350,518,0.9802724283701268,0.04300811010076186,0.9699082142442199
