,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,18,130,105,148,235,407,660,0.9728278380410268,0.043515449588367366,0.9648487430762677
1,$u_{25}$,16,132,105,148,237,405,658,0.972859901308732,0.04335260115606936,0.9649925516067248
2,$u_{50}$,15,131,106,146,237,407,659,0.9729555698647778,0.04354804194307725,0.9649300196902773
3,$u_{75}$,15,131,103,146,234,404,653,0.9732803948921558,0.04323167469234885,0.9652530197413931
