,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,17,123,96,140,219,400,636,0.9742779291553133,0.04357298474945534,0.9656476180187966
1,$u_{25}$,14,124,97,138,221,395,630,0.9744120209059234,0.04307054846799695,0.9659974093264249
2,$u_{50}$,13,123,101,136,224,395,632,0.9742082925236696,0.04309404320314204,0.965904186447993
3,$u_{75}$,14,122,98,136,220,393,627,0.9745292260803309,0.04286649214659686,0.9661684562671989
