,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$u_{SCF}$,63,223,153,286,376,496,935,0.9546018614270941,0.049984883603748864,0.9517966695880807
1,$u_{25}$,63,223,153,286,376,496,935,0.9546018614270941,0.049984883603748864,0.9517966695880807
2,$u_{50}$,63,223,153,286,376,496,935,0.9546018614270941,0.049984883603748864,0.9517966695880807
3,$u_{75}$,63,223,153,286,376,496,935,0.9546018614270941,0.049984883603748864,0.9517966695880807
